address,appointed_actuary,category,contacts,insurer_email,insurer_name,leader_designation,leader_email,leader_name,registration_number,serial_no,source_url,website,website_url
", #36/5, , , 27 , 2, , , - 560102 2nd Floor, #36/5, Hustlehub One East, Somasandrapalya, 27th Main road, Sector 2, HSR Layout, Bengaluru, Karnataka - 560102",/ Mr. Rahul Khetan,general,/ Phone: 022 62672525,,Acko General Insurance Limited,,,Mr.Animesh Kumar Das,,1,https://irdai.gov.in/list-of-general-insurers,/ Web: www.acko.com,https://www.acko.com
", 5 , 1, , -110023 Plate B&C, 5th Floor, Block 1, East Kidwai Nagar, New Delhi-110023",,general,/ Phone: 011-24600444,,Agriculture Insurance Company of India Limited,,,. . Dr. Lavanya R. Mundayur,,2,https://irdai.gov.in/list-of-general-insurers,/ Web: www.aicofindia.com,https://www.aicofindia.com
", , , , , 411006 Bajaj Allianz House, Airport Road, Yerwada, Pune, Maharashtra, 411006",Mr. Gaurav Malhotra,general,/ Phone - (+91 20) 66026666,,Bajaj General Insurance Limited,,,Mr. Tapan Singhel,,3,https://irdai.gov.in/list-of-general-insurers,/ Web: www.bajajgeneralinsurance.com/,https://www.bajajgeneralinsurance.com/
", , , , -600001 Dare House, 2 nd Floor, NSC Bose Road, Parrys, Chennai-600001.",Mr. Amit Mehra,general,044-40445400 / 044-40445550,,Cholamandalam MS General Insurance Company Limited,,,Mr. Venkateswaran Suryanarayanan,,4,https://irdai.gov.in/list-of-general-insurers,/ Web:www.cholainsurance.com,https://www.cholainsurance.com
", 393,393/1 45, . , - 400069, , ECGC Bhawan, CTS No.393,393/1 to 45, M.V Road Andheri East, Mumbai – 400069, Maharashtra, India",Ms. Priscilla Sinha,general,/ Phone: 022 66590 610 / 022 66590 510,,ECGC Limited,,,( ) Mr. Sristiraj Ambastha (Additional Charge),,5,https://irdai.gov.in/list-of-general-insurers,/ Web: www.ecgc.in,https://www.ecgc.in
"801 802 8 , , 247 , () 400083 Unit number 801 & 802 8th floor, Tower C, Embassy 247 Park L.B.S Marg, Vikhroli (west) Mumbai 400083",Mr. Jatin Arora,general,/ Phone : + 91- 022-40976601,,Generali Central Insurance Company Limited,,,Mr. Anup Rau,,6,https://irdai.gov.in/list-of-general-insurers,/ Web: www.generalicentralinsurance.com,https://www.generalicentralinsurance.com
"1 6 , ( ), , , 1579, , -411005; 1 to 6 floors, Ananta One (AR One), Pride Hotel Lane, Narveer Tanaji Wadi, City Survey No.1579, Shivaji Nagar, Pune-411005;",/ Mr. Adarsh Kishor Agarwal,general,/ Phone: 7026061234 / 1800-258-5956,,Go Digit General Insurance Limited,,,Ms. Jasleen Kohli,,7,https://irdai.gov.in/list-of-general-insurers,/ Web: www.godigit.com,https://www.godigit.com
", , 165-166, , .. , , -400020 HDFC House,1st Floor,165-166, Backbay Reclamation, H.T.Parekh Marg, Churchgate, Mumbai-400020",Mr. Anshul Mittal,general,/ Phone: +91 22-66383600 / Fax No.: +91 22-66383699,,HDFC ERGO General Insurance Company Limited,,,Mr.Anuj Tyagi,,8,https://irdai.gov.in/list-of-general-insurers,/ Web: www.hdfcergo.co,https://www.hdfcergo.co
", 414, , 400025, ICICI Lombard House, 414, Veer Savarkar Marg Near Siddhivinayak Temple, Prabhadevi Mumbai 400025, India",Mr. Prasun Kumar Sarkar,general,/ Phone: 1800 2666 / Fax: 022 - 61961323,,ICICI LOMBARD General Insurance Company Limited,,,Mr. Sanjeev Mantri,,9,https://irdai.gov.in/list-of-general-insurers,/ Web: www.icicilombard.com,https://www.icicilombard.com
"II, , 3, 29, - 122001 IFFCO Tower II, 4th & 5th Floor, Plot No. 3,Sector 29, Gurugram- 122001",Ms. Isha Khera,general,"/ Phone: 0124-2850100 / Fax: +91-0124-2577923,2577924",,IFFCO TOKIO General Insurance Company Limited,,,Mr. Subrata Mandal,,10,https://irdai.gov.in/list-of-general-insurers,/ Web: www.iffcotokio.co.in,https://www.iffcotokio.co.in
". 401, , , , , (), - 400063 Unit no. 401, 4th Floor, Silver Metropolis, Jai Coach Compound, Off Western Express Highway, Goregaon (East), Mumbai- 400063",Mr. Mehul Shah,general,/ Phone No - 02242858601,,() ( ) Zurich Kotak General Insurance Company (India) Limited (formerly known as Kotak Mahindra General Insurance Company Limited),,,Mr. Alok Agarwal,,11,https://irdai.gov.in/list-of-general-insurers,/ Web: http://www.zurichkotak.com,http://www.zurichkotak.com
"413, , , , , - 500016 413, 4th Floor, My Home Tycoon Building, Kundan Bagh, Begumpet, Hyderabad - 500016",Mr. Piyush Jain,general,/ Phone: 04023409918,,Kshema General Insurance Limited,,,Mr. Vyasa Krishna Burugupalli,,12,https://irdai.gov.in/list-of-general-insurers,/ Website: www.kshema.co,https://www.kshema.co
"1501 1502, 15 , 2, , , , - 400013 Unit 1501 & 1502, 15th floor, Tower 2, One International Center, Senapati Bapat Marg, Prabhadevi, Mumbai – 400013",Mr. Ryan Samaratunga,general,/ Phone: 1800-266-5844,,Liberty General Insurance Limited,,,Mr. Parag Ved,,13,https://irdai.gov.in/list-of-general-insurers,/ Web: www.libertyinsurance.in,https://www.libertyinsurance.in
"1 2, , , - 3, , (), - 400070 Unit No. 1B & 2B, 2nd floor, Equinox Business Park, Tower – 3, LBS Marg, Kurla (West), Mumbai – 400070",Mr. Shivendra Tripathi,general,/ Phone: 022- 67284800,,Magma General Insurance Limited,,,Mr. Rajive Kumaraswami,,14,https://irdai.gov.in/list-of-general-insurers,/ Web: https://www.magmainsurance.com/,https://www.magmainsurance.com/
".18-0374, .-81, , -700 156 (09/08/2023 ) Premises No.18-0374, Plot No.CBD-81, New Town, Kolkata-700 156 (effective from 09/08/2023)",Mr.Ashok Kumar Lahoty,general,/ Phone: 033-22831705 / Fax: 033-22831740,,National Insurance Company Limited,,,Ms. Rajeshwari Singh Muni,,15,https://irdai.gov.in/list-of-general-insurers,/ Web: https://nationalinsurance.nic.co.in,https://nationalinsurance.nic.co.in
", 7 , , , , - 560102 Vaishnavi Tech Square, 7th Floor, Iballur Village, Begur Hobli, Bengaluru, Karnataka- 560102",Mr Shantanu Gaur,general,/ Phone: 18001230004,,Navi General Insurance Limited,,,Mr.Vaibhav Goyal,,16,https://irdai.gov.in/list-of-general-insurers,/ Web: www.naviinsurance.com,https://www.naviinsurance.com
