address,appointed_actuary,category,contacts,insurer_email,insurer_name,leader_designation,leader_email,leader_name,registration_number,serial_no,source_url,website_url
", , 19953, - 400021 Yogakshema, Jeevan Bima Marg, Post Box No. 19953, Mumbai - 400021",Mr. Ajay Kumar Srivastava,life,/ Tel 22-68276827,https://www.licindia.in/,Life Insurance Corporation of India,& MD & CEO,,. Mr. R. Doraiswamy,512,1,https://irdai.gov.in/list-of-life-insurers1,
", 11, 12 , , , , - II, - 122002, 3rd, 11th, 12th Floor, DLF Square Building, Jacaranda Marg, DLF City, Phase - II, Gurgaon - 122002, Haryana",Mr. Jose Chathuparambil John,life,/ Tel 0124-4121500,https://www.axismaxlife.com/,Axis Max Life Insurance Limited,& MD & CEO,,Mr. Sumit Madan,104,2,https://irdai.gov.in/list-of-life-insurers1,
"13 , , , , , - 400011, 13th Floor, Lodha Excelus, Apollo Mills Compound, N.M. Joshi Road, Mahalaxmi, Mumbai - 400011, Maharashtra",Ms. Eshwari Murugan,life,/ Tel 022 - 67516666,https://www.hdfclife.com/,HDFC Life Insurance Company Limited,& MD & CEO,,Ms. Vibha Padalkar,101,3,https://irdai.gov.in/list-of-life-insurers1,
", 1089, , , - 400025 ICICI Prulife Towers,1089, Appasaheb Marathe Marg, Prabhadevi,Mumbai - 400025",Mr. Souvik Jash,life,/ Tel (022) 40391600,https://www.iciciprulife.com/,ICICI Prudential Life Insurance Company Limited,& MD & CEO,,Mr. Anup Bagchi,105,4,https://irdai.gov.in/list-of-life-insurers1,
"901 (-) 902 (-), 9 , ( 4), , , , (), - 400097 901 (A-wing) & 902 (B-Wing), 9th floor, Intellion Square (Building No. 4), Infinity Park, Off. W. E. Highway, General AK Vaidya Marg, Malad (E), Mumbai-400 097",. Mr. R. Jayaraman,life,/ Tel 022-66057652 / 6605777,https://www.kotaklife.com/,Kotak Mahindra Life Insurance Company Limited,& MD & CEO,,Mr. Mahesh Balasubramanian,107,5,https://irdai.gov.in/list-of-life-insurers1,
", 1, 16 , , 841, , , - 400013 One India Bulls Centre,Tower 1, 16th Floor, Jupiter Mill Compound, 841, SenapatiBapatMarg, Elphinstone Road,Mumbai - 400013.",Mr. Nakul Yadav,life,/ Tel 022 - 43569000,https://lifeinsurance.adityabirlacapital.com/,Aditya Birla SunLife Insurance Company Limited,& MD & CEO,,Mr. Kamlesh Rao,109,6,https://irdai.gov.in/list-of-life-insurers1,
"14 , , , , - 400013 14th Floor, Tower A, Peninsula Business Park Lower Parel, Senapati Bapat Marg, Mumbai - 400013",Mr. Kshitij Sharma,life,/ Tel 022 - 66479000,http://tataaia.com/,TATA AIA Life Insurance Company Limited,& MD & CEO,,Shri. Venkatachalam Iyer,110,7,https://irdai.gov.in/list-of-life-insurers1,
""""", , (), 400069 “Natraj”, M.V. Road & Western Express Highway Junction, Andheri (East), Mumbai 400069",Mr. Prithesh Chaubey,life,/ Tel 022-61910000 / 1800 267 9090,https://www.sbilife.co.in/,SBI Life Insurance Company Limited,& MD & CEO,,Shri. Amit Jhingran,111,8,https://irdai.gov.in/list-of-life-insurers1,
", , , - 411006 Bajaj Allianz House, Airport Road, Yerawada, Pune - 411006",Mr. Avdhesh Gupta,life,/ Tel 020 - 66026773,https://www.bajajlifeinsurance.com/,Bajaj Life Insurance Limited,& MD & CEO,,Mr. Tarun Chugh,116,9,https://irdai.gov.in/list-of-life-insurers1,
"101, , - 1, , , (), - 400062 Unit No. 101, 1st Floor, Techniplex - 1, Techniplex Complex, Veer Savarkar Flyover, Off S V Road Goregaon (West), Maharashtra - 400062",Ms. Asfa Kausar Bihari,life,/ Tel 022 - 41790000,https://www.pnbmetlife.com/,PNB MetLife India Insurance Company Limited,& MD & CEO,sbansal@pnbmetlife.com,Mr. Sameer Bansal,117,10,https://irdai.gov.in/list-of-life-insurers1,
"Unit Nos. 401B, 402, 403 & 404, 4th Floor, Inspire-BKC, G Block, BKC Main Road, Bandra Kurla Complex, Bandra East, Mumbai-400051",Mr. Pradeep Kumar Thapliyal,life,/ Tel 022 6896 5000,http://www.reliancenipponlife.com/,Reliance Nippon Life Insurance Company Limited,& CEO & ED,,Mr. Ashish Vohra,121,11,https://irdai.gov.in/list-of-life-insurers1,
"401-, , , , -20, -8, , -122016, 401-A, 4th Floor, Block A, DLF Cyber Park, Sector-20, NH-8, Gurugram, Haryana-122016, India",Mr. Ajai Kumar Tripathy,life,/ Tel 0124 - 2709000/46,https://www.avivaindia.com/,Aviva Life Insurance Company India Limited,& MD & CEO,,Mr. Asit Rath,122,12,https://irdai.gov.in/list-of-life-insurers1,
", 1, , , - 226024 Sahara India Centre, 1, Kapoorthala Complex, Aliganj, Lucknow - 226024",Mr. Ripudaman Sethi,life,/ Tel 0522-2337777,https://www.saharalife.com/,Sahara India Life Insurance Company Limited,"WTD, President & CEO",,Mr. A K Dasgupta,127,13,https://irdai.gov.in/list-of-life-insurers1,
", : 31 32, , , , - 500032 Ramki Selenium,Plot No:31 & 32,Beside Andhra Bank Training Centre, Financial District, Gachibowli, Hyderabad - 500032.",Mr. Johannes Gilliam van Helsdingen,life,/ Tel 040 - 23434466-72,https://shriramlife.com/,Shriram Life Insurance Company Limited,& MD & CEO,,Mr. Casparus Jacobus Hendri Kromhout,128,14,https://irdai.gov.in/list-of-life-insurers1,
": 1904, 19 , , '' , , , , , - 400051 Unit no:1904,19th Floor, Parinee Crescenzo,‘G’ Block, Bandra Kurla Complex, BKC Road, Behind MCA Ground, Bandra East, Mumbai - 400051",Mr. Mayank Saurabh Mentor actuary( Mr. Varun Gupta),life,/ Tel 022 - 40306397,https://www.bharti-axalife.com/,Bharti AXA Life Insurance Company Limited,& MD & CEO,,Mr. Parag Raja,130,15,https://irdai.gov.in/list-of-life-insurers1,
