Sr. No.,Insurer,Registered/Corporate Address,CEO/CMD,Appointed Actuary,Telephone no./Fax no./ Web address of the Insurer,Website
1,Acko General Insurance Limited,", #36/5, , , 27 , 2, , , - 560102 2nd Floor, #36/5, Hustlehub One East, Somasandrapalya, 27th Main road, Sector 2, HSR Layout, Bengaluru, Karnataka - 560102",Mr.Animesh Kumar Das,/ Mr. Rahul Khetan,/ Phone: 022 62672525,/ Web: www.acko.com
2,Agriculture Insurance Company of India Limited,", 5 , 1, , -110023 Plate B&C, 5th Floor, Block 1, East Kidwai Nagar, New Delhi-110023",. . Dr. Lavanya R. Mundayur,,/ Phone: 011-24600444,/ Web: www.aicofindia.com
3,Bajaj General Insurance Limited,", , , , , 411006 Bajaj Allianz House, Airport Road, Yerwada, Pune, Maharashtra, 411006",Mr. Tapan Singhel,Mr. Gaurav Malhotra,/ Phone - (+91 20) 66026666,/ Web: www.bajajgeneralinsurance.com/
4,Cholamandalam MS General Insurance Company Limited,", , , , -600001 Dare House, 2 nd Floor, NSC Bose Road, Parrys, Chennai-600001.",Mr. Venkateswaran Suryanarayanan,Mr. Amit Mehra,044-40445400 / 044-40445550,/ Web:www.cholainsurance.com
5,ECGC Limited,", 393,393/1 45, . , - 400069, , ECGC Bhawan, CTS No.393,393/1 to 45, M.V Road Andheri East, Mumbai – 400069, Maharashtra, India",( ) Mr. Sristiraj Ambastha (Additional Charge),Ms. Priscilla Sinha,/ Phone: 022 66590 610 / 022 66590 510,/ Web: www.ecgc.in
6,Generali Central Insurance Company Limited,"801 802 8 , , 247 , () 400083 Unit number 801 & 802 8th floor, Tower C, Embassy 247 Park L.B.S Marg, Vikhroli (west) Mumbai 400083",Mr. Anup Rau,Mr. Jatin Arora,/ Phone : + 91- 022-40976601,/ Web: www.generalicentralinsurance.com
7,Go Digit General Insurance Limited,"1 6 , ( ), , , 1579, , -411005; 1 to 6 floors, Ananta One (AR One), Pride Hotel Lane, Narveer Tanaji Wadi, City Survey No.1579, Shivaji Nagar, Pune-411005;",Ms. Jasleen Kohli,/ Mr. Adarsh Kishor Agarwal,/ Phone: 7026061234 / 1800-258-5956,/ Web: www.godigit.com
8,HDFC ERGO General Insurance Company Limited,", , 165-166, , .. , , -400020 HDFC House,1st Floor,165-166, Backbay Reclamation, H.T.Parekh Marg, Churchgate, Mumbai-400020",Mr.Anuj Tyagi,Mr. Anshul Mittal,/ Phone: +91 22-66383600 / Fax No.: +91 22-66383699,/ Web: www.hdfcergo.co
9,ICICI LOMBARD General Insurance Company Limited,", 414, , 400025, ICICI Lombard House, 414, Veer Savarkar Marg Near Siddhivinayak Temple, Prabhadevi Mumbai 400025, India",Mr. Sanjeev Mantri,Mr. Prasun Kumar Sarkar,/ Phone: 1800 2666 / Fax: 022 - 61961323,/ Web: www.icicilombard.com
10,IFFCO TOKIO General Insurance Company Limited,"II, , 3, 29, - 122001 IFFCO Tower II, 4th & 5th Floor, Plot No. 3,Sector 29, Gurugram- 122001",Mr. Subrata Mandal,Ms. Isha Khera,"/ Phone: 0124-2850100 / Fax: +91-0124-2577923,2577924",/ Web: www.iffcotokio.co.in
11,() ( ) Zurich Kotak General Insurance Company (India) Limited (formerly known as Kotak Mahindra General Insurance Company Limited),". 401, , , , , (), - 400063 Unit no. 401, 4th Floor, Silver Metropolis, Jai Coach Compound, Off Western Express Highway, Goregaon (East), Mumbai- 400063",Mr. Alok Agarwal,Mr. Mehul Shah,/ Phone No - 02242858601,/ Web: http://www.zurichkotak.com
12,Kshema General Insurance Limited,"413, , , , , - 500016 413, 4th Floor, My Home Tycoon Building, Kundan Bagh, Begumpet, Hyderabad - 500016",Mr. Vyasa Krishna Burugupalli,Mr. Piyush Jain,/ Phone: 04023409918,/ Website: www.kshema.co
13,Liberty General Insurance Limited,"1501 1502, 15 , 2, , , , - 400013 Unit 1501 & 1502, 15th floor, Tower 2, One International Center, Senapati Bapat Marg, Prabhadevi, Mumbai – 400013",Mr. Parag Ved,Mr. Ryan Samaratunga,/ Phone: 1800-266-5844,/ Web: www.libertyinsurance.in
14,Magma General Insurance Limited,"1 2, , , - 3, , (), - 400070 Unit No. 1B & 2B, 2nd floor, Equinox Business Park, Tower – 3, LBS Marg, Kurla (West), Mumbai – 400070",Mr. Rajive Kumaraswami,Mr. Shivendra Tripathi,/ Phone: 022- 67284800,/ Web: https://www.magmainsurance.com/
