Sl.No,Name,Regn. No,Address,Name of the Chairman / MD & CEO,Designation,Email of Chairman/CEO/MD,Appointed Actuary,Telephone/Fax,Email-id of Insurer
1,Life Insurance Corporation of India,512,", , 19953, - 400021 Yogakshema, Jeevan Bima Marg, Post Box No. 19953, Mumbai - 400021",. Mr. R. Doraiswamy,& MD & CEO,,Mr. Ajay Kumar Srivastava,/ Tel 22-68276827,https://www.licindia.in/
2,Axis Max Life Insurance Limited,104,", 11, 12 , , , , - II, - 122002, 3rd, 11th, 12th Floor, DLF Square Building, Jacaranda Marg, DLF City, Phase - II, Gurgaon - 122002, Haryana",Mr. Sumit Madan,& MD & CEO,,Mr. Jose Chathuparambil John,/ Tel 0124-4121500,https://www.axismaxlife.com/
3,HDFC Life Insurance Company Limited,101,"13 , , , , , - 400011, 13th Floor, Lodha Excelus, Apollo Mills Compound, N.M. Joshi Road, Mahalaxmi, Mumbai - 400011, Maharashtra",Ms. Vibha Padalkar,& MD & CEO,,Ms. Eshwari Murugan,/ Tel 022 - 67516666,https://www.hdfclife.com/
4,ICICI Prudential Life Insurance Company Limited,105,", 1089, , , - 400025 ICICI Prulife Towers,1089, Appasaheb Marathe Marg, Prabhadevi,Mumbai - 400025",Mr. Anup Bagchi,& MD & CEO,,Mr. Souvik Jash,/ Tel (022) 40391600,https://www.iciciprulife.com/
5,Kotak Mahindra Life Insurance Company Limited,107,"901 (-) 902 (-), 9 , ( 4), , , , (), - 400097 901 (A-wing) & 902 (B-Wing), 9th floor, Intellion Square (Building No. 4), Infinity Park, Off. W. E. Highway, General AK Vaidya Marg, Malad (E), Mumbai-400 097",Mr. Mahesh Balasubramanian,& MD & CEO,,. Mr. R. Jayaraman,/ Tel 022-66057652 / 6605777,https://www.kotaklife.com/
6,Aditya Birla SunLife Insurance Company Limited,109,", 1, 16 , , 841, , , - 400013 One India Bulls Centre,Tower 1, 16th Floor, Jupiter Mill Compound, 841, SenapatiBapatMarg, Elphinstone Road,Mumbai - 400013.",Mr. Kamlesh Rao,& MD & CEO,,Mr. Nakul Yadav,/ Tel 022 - 43569000,https://lifeinsurance.adityabirlacapital.com/
7,TATA AIA Life Insurance Company Limited,110,"14 , , , , - 400013 14th Floor, Tower A, Peninsula Business Park Lower Parel, Senapati Bapat Marg, Mumbai - 400013",Shri. Venkatachalam Iyer,& MD & CEO,,Mr. Kshitij Sharma,/ Tel 022 - 66479000,http://tataaia.com/
8,SBI Life Insurance Company Limited,111,""""", , (), 400069 “Natraj”, M.V. Road & Western Express Highway Junction, Andheri (East), Mumbai 400069",Shri. Amit Jhingran,& MD & CEO,,Mr. Prithesh Chaubey,/ Tel 022-61910000 / 1800 267 9090,https://www.sbilife.co.in/
9,Bajaj Life Insurance Limited,116,", , , - 411006 Bajaj Allianz House, Airport Road, Yerawada, Pune - 411006",Mr. Tarun Chugh,& MD & CEO,,Mr. Avdhesh Gupta,/ Tel 020 - 66026773,https://www.bajajlifeinsurance.com/
10,PNB MetLife India Insurance Company Limited,117,"101, , - 1, , , (), - 400062 Unit No. 101, 1st Floor, Techniplex - 1, Techniplex Complex, Veer Savarkar Flyover, Off S V Road Goregaon (West), Maharashtra - 400062",Mr. Sameer Bansal,& MD & CEO,sbansal@pnbmetlife.com,Ms. Asfa Kausar Bihari,/ Tel 022 - 41790000,https://www.pnbmetlife.com/
11,Reliance Nippon Life Insurance Company Limited,121,"Unit Nos. 401B, 402, 403 & 404, 4th Floor, Inspire-BKC, G Block, BKC Main Road, Bandra Kurla Complex, Bandra East, Mumbai-400051",Mr. Ashish Vohra,& CEO & ED,,Mr. Pradeep Kumar Thapliyal,/ Tel 022 6896 5000,http://www.reliancenipponlife.com/
12,Aviva Life Insurance Company India Limited,122,"401-, , , , -20, -8, , -122016, 401-A, 4th Floor, Block A, DLF Cyber Park, Sector-20, NH-8, Gurugram, Haryana-122016, India",Mr. Asit Rath,& MD & CEO,,Mr. Ajai Kumar Tripathy,/ Tel 0124 - 2709000/46,https://www.avivaindia.com/
13,Sahara India Life Insurance Company Limited,127,", 1, , , - 226024 Sahara India Centre, 1, Kapoorthala Complex, Aliganj, Lucknow - 226024",Mr. A K Dasgupta,"WTD, President & CEO",,Mr. Ripudaman Sethi,/ Tel 0522-2337777,https://www.saharalife.com/
14,Shriram Life Insurance Company Limited,128,", : 31 32, , , , - 500032 Ramki Selenium,Plot No:31 & 32,Beside Andhra Bank Training Centre, Financial District, Gachibowli, Hyderabad - 500032.",Mr. Casparus Jacobus Hendri Kromhout,& MD & CEO,,Mr. Johannes Gilliam van Helsdingen,/ Tel 040 - 23434466-72,https://shriramlife.com/
15,Bharti AXA Life Insurance Company Limited,130,": 1904, 19 , , '' , , , , , - 400051 Unit no:1904,19th Floor, Parinee Crescenzo,‘G’ Block, Bandra Kurla Complex, BKC Road, Behind MCA Ground, Bandra East, Mumbai - 400051",Mr. Parag Raja,& MD & CEO,,Mr. Mayank Saurabh Mentor actuary( Mr. Varun Gupta),/ Tel 022 - 40306397,https://www.bharti-axalife.com/
16,Generali Central Life Insurance Company Limited,133,", 3, 6 , , (), - 400013 Indiabulls Finance Centre, Tower 3, 6th Floor, Senapati Bapat Marg, Elphonstone (W), Mumbai-400013",Mr. Alok Rungta,& MD & CEO,,Mr. Aditya Mall,/ Tel 022- 40976666,https://www.generalicentrallife.com/
17,Ageas Federal Life Insurance Company Limited,135,"22 , , , , - , - 400013 22nd Floor, A Wing, Marathon Futurex, N. M. Joshi Marg, Lower Parel - East, Mumbai - 400013",Mr. Jude Pijush Gomes,& MD & CEO,,Mr. Shivank Chandra,/ Tel 022 - 23029200,https://www.ageasfederal.com/
18,Canara HSBC Life Insurance Company Limited,136,"139 P Sector - 44, Gurugram - 122003 Haryana, India",Mr. Anuj Mathur,& MD & CEO,,/ Mr. Nitin Agarwal,/ Tel 0124 - 4535500,https://www.canarahsbclife.com/
19,Bandhan Life Insurance Limited,138,", -201, , , . , , (), - 400459 Bandhan Life Insurance Limited - A - 201, 2nd Floor, Leela Business Park, Nr. Airport Road Metro Station, Andheri Kurla Road, Andheri (East), Mumbai - 400459",Mr. Satishwar Balakrishnan,& MD & CEO,,Mr. Kamlesh Gupta,/ Tel 022 61180100,www.bandhanlife.com
20,Pramerica Life Insurance Company Limited,140,", , 9, , -III, 122002 4th Floor, Tower B, Building No.9, DLF Cyber City, Phase-III, Gurgaon 122002",Mr. Pankaj Gupta,& MD & CEO,,Ms. Asha Murali,/ Tel 0124 - 4697000,https://www.pramericalife.in/
21,- Star Union Dai-Ichi Life Insurance Company Limited,142,"11 , : 34, 35 & 38, , - 30, , 400703 11th Floor, Plot No: 34, 35 & 38, Vishwaroop IT Park, Sector-30 A of IIP, Vashi, Navi Mumbai 400703",Mr. Abhay Tewari,& MD & CEO,,Mr. Pradeep Kumar Anand,/ Tel 022- 39546200,https://www.sudlife.in/
